,locationId,location,parameter,value,date,,coordinates,,city,isMobile,isAnalysis,entity,sensorType
0,1214,Kitchener,pm25,16,utc': '2023-07-17T14:00:00+00:00', 'local': '2023-07-17T13:00:00-01:00',latitude': 43.4419, 'longitude': -80.5044,,FALSE,,Governmental Organization,reference grade
1,1214,Kitchener,pm25,22,utc': '2023-07-17T15:00:00+00:00', 'local': '2023-07-17T14:00:00-01:00',latitude': 43.4419, 'longitude': -80.5044,,FALSE,,Governmental Organization,reference grade
2,1214,Kitchener,pm25,26,utc': '2023-07-17T16:00:00+00:00', 'local': '2023-07-17T15:00:00-01:00',latitude': 43.4419, 'longitude': -80.5044,,FALSE,,Governmental Organization,reference grade
3,1214,Kitchener,no2,0.003,utc': '2023-07-17T15:00:00+00:00', 'local': '2023-07-17T14:00:00-01:00',latitude': 43.4419, 'longitude': -80.5044,,FALSE,,Governmental Organization,reference grade
4,1214,Kitchener,no2,0.002,utc': '2023-07-17T16:00:00+00:00', 'local': '2023-07-17T15:00:00-01:00',latitude': 43.4419, 'longitude': -80.5044,,FALSE,,Governmental Organization,reference grade
5,1275795,Kitchener,o3,0.016,utc': '2023-07-19T03:00:00+00:00', 'local': '2023-07-18T23:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
6,1275795,Kitchener,o3,0.013,utc': '2023-07-19T04:00:00+00:00', 'local': '2023-07-19T00:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
7,1275795,Kitchener,o3,0.013,utc': '2023-07-19T05:00:00+00:00', 'local': '2023-07-19T01:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
8,1275795,Kitchener,o3,0.02,utc': '2023-07-19T13:00:00+00:00', 'local': '2023-07-19T09:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
9,1275795,Kitchener,o3,0.032,utc': '2023-07-19T14:00:00+00:00', 'local': '2023-07-19T10:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
10,1275795,Kitchener,o3,0.038,utc': '2023-07-19T15:00:00+00:00', 'local': '2023-07-19T11:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
11,1275795,Kitchener,o3,0.042,utc': '2023-07-19T16:00:00+00:00', 'local': '2023-07-19T12:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
12,1275795,Kitchener,o3,0.039,utc': '2023-07-19T17:00:00+00:00', 'local': '2023-07-19T13:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
13,1275795,Kitchener,o3,0.04,utc': '2023-07-19T18:00:00+00:00', 'local': '2023-07-19T14:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
14,1275795,Kitchener,o3,0.042,utc': '2023-07-19T19:00:00+00:00', 'local': '2023-07-19T15:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
15,1275795,Kitchener,o3,0.045,utc': '2023-07-19T20:00:00+00:00', 'local': '2023-07-19T16:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
16,1275795,Kitchener,o3,0.049,utc': '2023-07-19T21:00:00+00:00', 'local': '2023-07-19T17:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
17,1275795,Kitchener,o3,0.046,utc': '2023-07-19T22:00:00+00:00', 'local': '2023-07-19T18:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
18,1275795,Kitchener,o3,0.042,utc': '2023-07-19T23:00:00+00:00', 'local': '2023-07-19T19:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
19,1275795,Kitchener,o3,0.039,utc': '2023-07-20T00:00:00+00:00', 'local': '2023-07-19T20:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
